x,y
0.0000,0.2484
0.1010,0.1329
0.2020,0.7279
0.3030,1.3676
0.4040,0.6910
0.5051,0.8930
0.6061,2.0017
0.7071,1.7979
0.8081,1.3814
0.9091,2.0895
1.0101,1.7885
1.1111,1.9894
1.2121,2.5452
1.3131,1.6696
1.4141,1.9658
1.5152,2.7492
1.6162,2.7259
1.7172,3.5915
1.8182,3.1824
1.9192,3.1322
2.0202,4.7732
2.1212,4.1295
2.2222,4.4782
2.3232,3.9341
2.4242,4.5763
2.5253,5.1060
2.6263,4.6770
2.7273,5.6424
2.8283,5.3562
2.9293,5.7127
3.0303,5.7598
3.1313,7.1888
3.2323,6.4579
3.3333,6.1378
3.4343,7.2800
3.5354,6.4603
3.6364,7.3772
3.7374,6.4949
3.8384,7.0127
3.9394,7.9772
4.0404,8.4500
4.1414,8.3685
4.2424,8.4270
4.3434,8.5363
4.4444,8.1496
4.5455,8.7310
4.6465,9.0626
4.7475,10.0235
4.8485,9.8688
4.9495,9.0175
5.0505,10.2631
5.1515,10.1105
5.2525,10.1666
5.3535,11.0129
5.4545,11.4246
5.5556,11.5768
5.6566,10.8935
5.7576,11.3605
5.8586,11.8828
5.9596,12.4070
6.0606,11.8816
6.1616,12.2304
6.2626,11.9721
6.3636,12.1292
6.4646,13.3356
6.5657,13.8094
6.6667,13.2973
6.7677,14.0371
6.8687,13.9182
6.9697,13.6168
7.0707,14.3221
7.1717,15.1125
7.2727,14.5275
7.3737,15.5298
7.4747,13.6396
7.5758,15.5625
7.6768,15.3971
7.7778,15.4061
7.8788,15.8035
7.9798,14.9658
8.0808,16.0518
8.1818,16.5422
8.2828,17.3046
8.3838,16.5085
8.4848,16.5655
8.5859,16.9208
8.6869,17.8314
8.7879,17.7401
8.8889,17.5129
8.9899,18.2364
9.0909,18.2304
9.1919,18.8682
9.2929,18.2348
9.3939,18.6240
9.4949,18.7938
9.5960,18.4602
9.6970,19.5420
9.7980,19.7265
9.8990,19.8005
10.0000,19.8827
